Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-23-43.052,0.963,0.180,0.143,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.276,0.117,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.070,0.963,0.180,0.143,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.274,0.118,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.092,0.963,0.179,0.142,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.273,0.118,-0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.112,0.963,0.180,0.142,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.273,0.118,-0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.132,0.963,0.180,0.142,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.272,0.118,-0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.152,0.963,0.180,0.142,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.273,0.117,-0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.172,0.963,0.180,0.142,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.273,0.117,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.192,0.963,0.179,0.141,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.273,0.116,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.212,0.963,0.179,0.141,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.273,0.115,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.232,0.963,0.179,0.140,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.272,0.114,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.251,0.964,0.177,0.139,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.272,0.113,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.271,0.965,0.177,0.137,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.271,0.112,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.291,0.965,0.176,0.135,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.272,0.110,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.311,0.966,0.175,0.133,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.272,0.109,-0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.331,0.967,0.174,0.131,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.272,0.107,-0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.351,0.968,0.172,0.129,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.272,0.105,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.371,0.969,0.171,0.126,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,-0.271,0.103,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.390,0.970,0.169,0.123,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957,-0.266,0.100,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.411,0.971,0.167,0.119,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,-0.264,0.097,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.431,0.971,0.165,0.114,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.265,0.096,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.451,0.972,0.163,0.110,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.260,0.090,-0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.471,0.974,0.162,0.106,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.258,0.087,-0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.491,0.974,0.161,0.101,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.258,0.085,-0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.512,0.975,0.159,0.097,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.256,0.080,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.531,0.976,0.157,0.093,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.255,0.077,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.551,0.976,0.155,0.089,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.255,0.072,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.571,0.977,0.153,0.084,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.254,0.067,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.591,0.978,0.151,0.080,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.253,0.062,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.610,0.978,0.149,0.074,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.253,0.057,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-23-43.632,0.979,0.147,0.069,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.254,0.052,-0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
