Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-25-23.622,0.964,0.199,0.127,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.295,0.108,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.646,0.964,0.199,0.127,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.295,0.109,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.666,0.964,0.200,0.127,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.295,0.111,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.686,0.964,0.200,0.126,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,-0.296,0.112,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.706,0.964,0.200,0.126,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.299,0.115,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.726,0.964,0.201,0.125,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.301,0.116,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.746,0.964,0.202,0.124,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.303,0.116,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.765,0.964,0.202,0.124,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.302,0.114,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.787,0.964,0.203,0.125,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.301,0.112,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.807,0.965,0.204,0.126,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.303,0.110,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-25-23.827,0.965,0.204,0.127,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.302,0.109,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
