Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-29-01.874,0.971,0.174,0.125,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.277,0.118,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-01.893,0.971,0.174,0.125,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.275,0.117,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-01.913,0.970,0.174,0.126,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.274,0.116,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-01.933,0.970,0.174,0.126,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.272,0.115,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-01.953,0.970,0.175,0.126,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.272,0.114,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-01.973,0.970,0.177,0.126,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.273,0.114,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-01.993,0.970,0.178,0.126,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.274,0.116,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.013,0.970,0.179,0.126,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.276,0.117,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.033,0.970,0.179,0.126,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.278,0.118,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.053,0.970,0.179,0.126,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.278,0.119,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.073,0.970,0.179,0.126,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.278,0.119,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.093,0.970,0.179,0.125,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.281,0.120,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.113,0.971,0.178,0.125,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.281,0.119,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.133,0.971,0.177,0.125,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.280,0.118,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.152,0.971,0.176,0.124,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.280,0.117,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.174,0.971,0.175,0.123,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.281,0.115,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-29-02.194,0.972,0.175,0.122,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.283,0.114,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
