Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-27-33.279,0.970,0.169,0.130,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.291,0.094,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.299,0.970,0.170,0.130,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.291,0.094,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.319,0.970,0.169,0.129,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.292,0.095,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.339,0.969,0.169,0.129,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.290,0.094,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.359,0.969,0.170,0.129,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.289,0.094,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.379,0.970,0.170,0.130,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.288,0.093,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.399,0.970,0.171,0.130,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.288,0.093,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.419,0.970,0.171,0.130,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.290,0.093,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.439,0.970,0.172,0.131,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.291,0.094,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.458,0.970,0.173,0.131,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.291,0.094,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.480,0.970,0.172,0.131,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.291,0.095,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-27-33.499,0.970,0.170,0.131,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.289,0.094,-0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
