Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-26-58.960,0.973,0.152,0.132,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.293,0.098,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-58.980,0.973,0.152,0.132,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.293,0.098,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.002,0.974,0.152,0.132,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.292,0.099,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.022,0.974,0.151,0.133,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.293,0.100,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.042,0.974,0.149,0.133,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.290,0.100,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.062,0.973,0.146,0.133,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.286,0.100,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.080,0.973,0.145,0.133,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.284,0.098,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.102,0.973,0.145,0.133,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.283,0.098,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.122,0.973,0.146,0.133,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.284,0.098,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-59.141,0.973,0.146,0.133,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.284,0.099,-0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
