Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-22-38.515,0.968,0.160,0.141,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.299,0.079,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.534,0.968,0.160,0.140,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.299,0.078,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.554,0.969,0.160,0.139,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.299,0.078,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.574,0.969,0.160,0.139,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.301,0.079,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.594,0.970,0.159,0.139,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.302,0.080,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.614,0.970,0.158,0.138,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.303,0.080,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.634,0.970,0.157,0.137,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.304,0.080,-0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.655,0.970,0.156,0.135,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.304,0.079,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.675,0.970,0.155,0.133,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.303,0.079,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.695,0.971,0.155,0.132,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.301,0.078,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.715,0.970,0.155,0.131,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.301,0.078,-0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.735,0.971,0.155,0.131,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.300,0.079,-0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.755,0.971,0.154,0.131,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.301,0.079,-0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.775,0.971,0.154,0.130,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.299,0.078,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.795,0.971,0.153,0.129,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.299,0.078,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.815,0.971,0.152,0.126,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.299,0.075,-0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.835,0.971,0.150,0.125,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.298,0.073,-0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.855,0.972,0.148,0.123,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.296,0.071,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.875,0.973,0.146,0.120,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.297,0.069,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.895,0.974,0.144,0.115,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.296,0.064,-0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.915,0.975,0.141,0.109,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.296,0.059,-0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.935,0.976,0.137,0.101,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.295,0.053,-0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.955,0.978,0.132,0.093,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.296,0.048,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.975,0.979,0.127,0.085,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.295,0.041,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-38.994,0.980,0.122,0.076,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.293,0.033,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.016,0.982,0.115,0.066,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.292,0.026,-0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.036,0.983,0.109,0.056,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.291,0.018,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.056,0.984,0.104,0.046,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.290,0.010,-0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.076,0.985,0.099,0.036,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.288,0.002,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.095,0.986,0.094,0.026,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.285,-0.006,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.115,0.987,0.089,0.016,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.283,-0.014,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.135,0.987,0.087,0.011,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.280,-0.022,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.154,0.988,0.081,-0.003,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.277,-0.030,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.174,0.988,0.075,-0.013,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.273,-0.038,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.194,0.988,0.071,-0.022,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.271,-0.046,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.214,0.988,0.067,-0.032,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.267,-0.053,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.234,0.988,0.063,-0.041,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.263,-0.060,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.254,0.988,0.060,-0.049,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.260,-0.068,-0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.274,0.988,0.056,-0.058,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.257,-0.076,-0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.293,0.988,0.052,-0.066,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.253,-0.083,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.315,0.987,0.049,-0.074,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.249,-0.091,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.334,0.987,0.046,-0.082,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.247,-0.098,-0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.354,0.986,0.043,-0.090,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.243,-0.106,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-22-39.376,0.986,0.041,-0.098,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.239,-0.114,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
