Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
07-26-27.102,0.963,0.212,0.112,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.320,0.102,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.122,0.963,0.211,0.112,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.320,0.102,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.142,0.963,0.211,0.112,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935,-0.320,0.101,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.162,0.964,0.211,0.112,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935,-0.318,0.100,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.182,0.964,0.211,0.111,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.322,0.101,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.202,0.964,0.211,0.111,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.322,0.102,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.222,0.964,0.210,0.111,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935,-0.320,0.102,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.242,0.964,0.210,0.110,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935,-0.320,0.104,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.263,0.964,0.210,0.110,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.321,0.105,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
07-26-27.283,0.965,0.210,0.110,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.322,0.105,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
