Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-25-01.789,0.984,-0.092,0.070,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.038,-0.024,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.809,0.984,-0.091,0.070,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.036,-0.026,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.828,0.984,-0.091,0.070,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.035,-0.027,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.848,0.984,-0.091,0.070,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.034,-0.027,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.869,0.984,-0.091,0.070,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.034,-0.026,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.888,0.984,-0.091,0.070,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.035,-0.025,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.909,0.984,-0.091,0.071,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.035,-0.025,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.929,0.984,-0.091,0.071,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.037,-0.025,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.949,0.984,-0.090,0.072,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.038,-0.025,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-01.969,0.984,-0.090,0.072,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.039,-0.025,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
