Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-24-39.629,0.983,-0.096,0.085,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.027,-0.004,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.649,0.983,-0.096,0.084,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.026,-0.005,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.671,0.983,-0.096,0.082,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.025,-0.006,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.691,0.984,-0.096,0.082,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.025,-0.007,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.710,0.984,-0.097,0.082,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.023,-0.009,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.730,0.984,-0.096,0.081,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.023,-0.010,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.750,0.984,-0.097,0.079,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.019,-0.012,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.769,0.985,-0.098,0.076,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.016,-0.013,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.790,0.985,-0.098,0.074,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.014,-0.015,0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.810,0.985,-0.098,0.073,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.013,-0.016,0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.830,0.986,-0.098,0.073,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.009,-0.018,0.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.850,0.986,-0.098,0.071,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.006,-0.020,0.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.870,0.987,-0.098,0.070,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.005,-0.022,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.890,0.987,-0.096,0.070,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.003,-0.025,0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.909,0.987,-0.097,0.068,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.003,-0.027,0.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.929,0.988,-0.100,0.067,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.004,-0.030,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.948,0.988,-0.099,0.064,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.005,-0.032,0.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.969,0.989,-0.097,0.062,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,-0.008,-0.035,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-39.989,0.990,-0.096,0.061,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.943,-0.010,-0.037,0.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.007,0.990,-0.091,0.060,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.942,-0.010,-0.039,0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.031,0.991,-0.085,0.060,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.941,-0.009,-0.041,0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.051,0.991,-0.078,0.058,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,-0.009,-0.042,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.071,0.992,-0.073,0.056,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.939,-0.009,-0.044,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.090,0.993,-0.069,0.054,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.938,-0.009,-0.046,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.110,0.993,-0.065,0.053,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.937,-0.008,-0.047,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-40.129,0.994,-0.063,0.051,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.006,-0.048,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
