Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-28-27.818,0.967,-0.059,0.059,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.051,-0.037,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.838,0.967,-0.060,0.058,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.051,-0.036,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.858,0.967,-0.060,0.057,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.052,-0.037,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.877,0.967,-0.061,0.057,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.053,-0.037,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.897,0.967,-0.062,0.056,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.056,-0.037,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.917,0.967,-0.062,0.056,0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.056,-0.038,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.937,0.967,-0.061,0.057,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.056,-0.038,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.957,0.967,-0.060,0.057,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.056,-0.038,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.977,0.967,-0.060,0.056,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.989,-0.056,-0.038,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-27.997,0.967,-0.060,0.055,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.989,-0.056,-0.039,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.017,0.966,-0.060,0.054,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.989,-0.052,-0.039,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.037,0.966,-0.061,0.054,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.049,-0.040,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.057,0.966,-0.064,0.054,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.046,-0.042,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.078,0.966,-0.066,0.053,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.044,-0.043,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.098,0.966,-0.068,0.051,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.044,-0.044,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.118,0.966,-0.070,0.049,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.044,-0.046,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.138,0.966,-0.071,0.048,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.044,-0.048,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.158,0.966,-0.075,0.041,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.043,-0.050,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-28-28.177,0.966,-0.078,0.036,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,-0.043,-0.051,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
