Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-22-47.495,0.971,-0.132,0.033,0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.020,-0.016,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.515,0.972,-0.133,0.032,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.019,-0.015,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.537,0.972,-0.134,0.031,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.018,-0.014,0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.557,0.972,-0.132,0.031,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.017,-0.015,0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.577,0.972,-0.131,0.031,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.017,-0.015,0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.597,0.972,-0.131,0.031,0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.018,-0.015,0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.617,0.972,-0.131,0.030,0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.016,-0.014,0.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.637,0.972,-0.133,0.029,0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,-0.015,-0.013,0.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.657,0.973,-0.136,0.029,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,-0.015,-0.013,0.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.677,0.974,-0.138,0.030,0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.965,-0.014,-0.014,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.697,0.974,-0.140,0.031,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.965,-0.013,-0.016,0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.717,0.974,-0.142,0.031,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.964,-0.010,-0.017,0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.736,0.975,-0.144,0.032,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,-0.007,-0.016,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.756,0.976,-0.146,0.033,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.002,-0.014,0.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.776,0.977,-0.147,0.035,0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.961,0.004,-0.011,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.796,0.978,-0.148,0.037,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.007,-0.011,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.816,0.979,-0.147,0.039,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957,0.011,-0.012,0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.836,0.980,-0.147,0.040,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,0.011,-0.012,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.856,0.982,-0.146,0.041,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,0.012,-0.013,0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.876,0.983,-0.144,0.042,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,0.013,-0.013,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-22-47.896,0.985,-0.142,0.043,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,0.015,-0.014,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
