Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-27-06.961,0.980,-0.071,0.055,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,-0.050,-0.025,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-06.980,0.980,-0.069,0.053,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.971,-0.050,-0.027,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.002,0.980,-0.068,0.051,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.051,-0.027,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.022,0.981,-0.068,0.050,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.052,-0.029,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.042,0.981,-0.069,0.050,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,-0.050,-0.031,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.062,0.980,-0.069,0.047,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,-0.048,-0.034,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.082,0.980,-0.070,0.043,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,-0.047,-0.037,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.102,0.980,-0.072,0.039,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,-0.047,-0.038,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.122,0.981,-0.076,0.035,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,-0.046,-0.043,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.142,0.981,-0.078,0.032,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,-0.045,-0.046,0.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.161,0.981,-0.081,0.028,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.044,-0.050,0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.182,0.981,-0.084,0.024,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.042,-0.054,0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.202,0.981,-0.086,0.020,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.968,-0.040,-0.059,0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.222,0.981,-0.088,0.016,0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.039,-0.064,0.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.242,0.982,-0.091,0.011,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.037,-0.069,0.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.262,0.982,-0.092,0.005,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,-0.034,-0.075,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-27-07.282,0.982,-0.095,-0.001,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966,-0.031,-0.080,0.236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
