Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-24-16.912,0.979,-0.086,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.028,-0.009,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-16.932,0.979,-0.085,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.029,-0.009,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-16.952,0.979,-0.084,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.008,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-16.971,0.979,-0.084,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.031,-0.007,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-16.991,0.979,-0.082,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.007,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.011,0.979,-0.081,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.007,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.031,0.979,-0.082,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.028,-0.007,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.051,0.979,-0.081,0.072,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.007,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.071,0.979,-0.081,0.072,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.008,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.091,0.979,-0.081,0.072,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.008,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.111,0.979,-0.082,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.030,-0.009,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.131,0.979,-0.082,0.071,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.029,-0.010,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.151,0.979,-0.081,0.072,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.029,-0.010,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.171,0.979,-0.081,0.072,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.028,-0.010,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.191,0.979,-0.082,0.071,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.027,-0.010,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.211,0.979,-0.081,0.070,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.026,-0.009,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.231,0.979,-0.081,0.070,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.026,-0.009,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.251,0.979,-0.081,0.070,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.026,-0.008,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.271,0.979,-0.081,0.071,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.955,-0.027,-0.009,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-24-17.291,0.980,-0.081,0.071,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.956,-0.027,-0.009,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
