Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-23-34.373,0.977,-0.060,0.062,0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.072,-0.024,0.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.393,0.977,-0.059,0.063,0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.072,-0.023,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.413,0.977,-0.059,0.063,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.072,-0.023,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.433,0.977,-0.059,0.064,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.072,-0.023,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.453,0.977,-0.059,0.064,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.072,-0.022,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.473,0.977,-0.058,0.065,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.072,-0.022,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.493,0.978,-0.058,0.066,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.070,-0.023,0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.513,0.978,-0.056,0.066,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.069,-0.023,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.533,0.978,-0.054,0.066,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.069,-0.022,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.555,0.978,-0.054,0.065,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.069,-0.023,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.573,0.978,-0.054,0.064,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.069,-0.024,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.593,0.978,-0.054,0.064,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.068,-0.025,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.613,0.978,-0.053,0.063,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.068,-0.026,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.633,0.978,-0.053,0.062,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.070,-0.027,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.653,0.978,-0.053,0.061,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.070,-0.027,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.673,0.978,-0.054,0.060,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.069,-0.027,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.693,0.978,-0.054,0.059,0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.070,-0.027,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.713,0.978,-0.056,0.057,0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.069,-0.027,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.733,0.978,-0.057,0.056,0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.068,-0.026,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.753,0.978,-0.058,0.055,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.067,-0.026,0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.773,0.978,-0.059,0.054,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.067,-0.025,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.793,0.978,-0.059,0.053,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.954,-0.068,-0.025,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.813,0.978,-0.060,0.053,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.066,-0.025,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.833,0.978,-0.061,0.053,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.066,-0.025,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.853,0.978,-0.062,0.052,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.066,-0.026,0.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.873,0.979,-0.063,0.052,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.066,-0.025,0.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.895,0.979,-0.064,0.051,0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.065,-0.025,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.913,0.979,-0.065,0.051,0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.066,-0.025,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.933,0.979,-0.066,0.051,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.065,-0.025,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.952,0.979,-0.067,0.051,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.065,-0.025,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.974,0.979,-0.068,0.051,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.064,-0.026,0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-34.994,0.979,-0.069,0.052,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.063,-0.027,0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-35.014,0.979,-0.070,0.053,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.951,-0.064,-0.029,0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-35.034,0.979,-0.072,0.053,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,-0.061,-0.028,0.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
