Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-25-22.448,0.990,-0.068,0.064,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.042,-0.052,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.468,0.990,-0.068,0.064,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,-0.044,-0.053,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.488,0.990,-0.068,0.064,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.043,-0.055,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.508,0.990,-0.068,0.063,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.043,-0.056,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.528,0.990,-0.067,0.062,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.045,-0.058,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.548,0.990,-0.067,0.061,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.046,-0.058,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.568,0.990,-0.066,0.061,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.046,-0.057,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.588,0.990,-0.066,0.061,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.048,-0.057,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.608,0.990,-0.065,0.059,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.049,-0.056,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.628,0.990,-0.064,0.058,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.051,-0.055,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.648,0.990,-0.064,0.058,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.052,-0.055,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.667,0.990,-0.064,0.060,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.054,-0.055,0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.688,0.990,-0.064,0.061,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948,-0.056,-0.055,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.708,0.990,-0.065,0.063,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.058,-0.055,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.728,0.990,-0.065,0.063,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.058,-0.056,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.748,0.990,-0.066,0.064,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.947,-0.057,-0.057,0.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.768,0.990,-0.067,0.063,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.946,-0.056,-0.059,0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.788,0.990,-0.067,0.062,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.057,-0.061,0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.808,0.990,-0.067,0.060,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.945,-0.057,-0.064,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.828,0.991,-0.068,0.057,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.944,-0.056,-0.067,0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.848,0.991,-0.069,0.055,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.943,-0.055,-0.072,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.868,0.991,-0.071,0.049,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.942,-0.053,-0.076,0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.887,0.991,-0.074,0.045,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,-0.051,-0.082,0.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.907,0.991,-0.077,0.040,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.938,-0.049,-0.088,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.927,0.992,-0.081,0.035,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.936,-0.050,-0.096,0.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.947,0.992,-0.084,0.028,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.933,-0.054,-0.105,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.967,0.992,-0.087,0.021,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.931,-0.054,-0.114,0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-22.989,0.992,-0.091,0.014,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.928,-0.051,-0.123,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-23.007,0.992,-0.094,0.005,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.924,-0.050,-0.134,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-25-23.029,0.992,-0.094,-0.003,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.919,-0.049,-0.145,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
