Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-23-56.712,0.980,-0.107,0.042,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.024,-0.040,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.732,0.980,-0.106,0.042,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.025,-0.039,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.751,0.980,-0.106,0.043,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.025,-0.039,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.771,0.980,-0.106,0.044,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.025,-0.038,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.791,0.980,-0.106,0.045,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.025,-0.038,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.811,0.980,-0.106,0.046,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.024,-0.038,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.831,0.980,-0.106,0.047,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.024,-0.039,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.851,0.981,-0.108,0.046,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.952,-0.022,-0.040,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.872,0.981,-0.106,0.046,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.022,-0.040,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.892,0.981,-0.105,0.046,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.023,-0.040,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.912,0.981,-0.104,0.046,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.022,-0.039,0.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.932,0.981,-0.104,0.045,0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.020,-0.038,0.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-23-56.952,0.981,-0.105,0.045,0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.953,-0.019,-0.037,0.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
