Time,W0, X0, Y0, Z0,W1, X1, Y1, Z1,W2, X2, Y2, Z2,W3, X3, Y3, Z3,W4, X4, Y4, Z4,W5, X5, Y5, Z5,W6, X6, Y6, Z6,W7, X7, Y7, Z7,
16-26-44.963,0.970,-0.079,0.072,0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.025,-0.043,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-44.983,0.970,-0.079,0.072,0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.024,-0.043,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.003,0.971,-0.080,0.072,0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.024,-0.043,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.023,0.971,-0.079,0.072,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.023,-0.043,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.043,0.971,-0.080,0.071,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.022,-0.043,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.063,0.971,-0.081,0.070,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.021,-0.043,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.083,0.971,-0.082,0.068,0.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.020,-0.043,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.103,0.971,-0.083,0.067,0.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.020,-0.043,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.124,0.971,-0.084,0.066,0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.020,-0.043,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.144,0.971,-0.084,0.065,0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.019,-0.043,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.164,0.971,-0.086,0.063,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.019,-0.043,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.184,0.972,-0.087,0.063,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.018,-0.043,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.203,0.972,-0.087,0.062,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.017,-0.043,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.223,0.972,-0.086,0.061,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,-0.018,-0.042,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.243,0.972,-0.085,0.061,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.020,-0.041,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.263,0.972,-0.084,0.060,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.021,-0.040,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.283,0.972,-0.083,0.060,0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.022,-0.038,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.303,0.972,-0.082,0.060,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.024,-0.037,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
16-26-45.323,0.971,-0.081,0.060,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,-0.025,-0.036,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
